episode,step,x,y,angle,speed,drift_angle,action,reward,laps,done,offtrack_death
1,38,97.4,167.8,57.4,1.74,29.7,6,38.38,0,0,0
1,39,98.2,166.3,59.0,1.76,30.3,6,39.55,0,0,0
1,40,99.1,164.7,60.6,1.79,30.7,6,40.70,0,0,0
1,41,100.0,163.2,62.2,1.81,31.2,6,41.84,0,0,0
1,42,101.0,161.6,63.7,1.83,31.7,6,42.96,0,0,0
1,43,102.0,160.1,65.3,1.86,32.1,6,44.07,0,0,0
1,44,103.1,158.5,66.9,1.88,32.6,6,45.17,0,0,0
1,45,104.2,157.0,68.4,1.90,33.0,6,46.25,0,0,0
1,46,105.3,155.4,70.0,1.92,33.5,6,47.31,0,0,0
1,47,106.5,153.9,71.5,1.94,33.9,6,48.36,0,0,0
1,48,107.7,152.4,73.0,1.96,34.3,6,49.39,0,0,0
1,49,109.0,150.8,74.5,1.97,34.7,6,50.40,0,0,0
1,50,110.3,149.3,76.1,1.99,35.1,6,51.39,0,0,0
1,51,111.6,147.8,77.6,2.01,35.5,6,52.36,0,0,0
1,52,113.0,146.4,79.1,2.02,35.8,6,53.32,0,0,0
1,53,114.4,144.9,80.6,2.04,36.2,6,54.25,0,0,0
1,54,115.9,143.5,82.0,2.05,36.6,6,55.17,0,0,0
1,55,117.4,142.1,83.5,2.07,36.9,6,56.06,0,0,0
1,56,119.0,140.7,85.0,2.08,37.3,6,56.93,0,0,0
1,57,120.5,139.3,86.5,2.10,37.6,6,57.79,0,0,0
1,58,122.2,137.9,88.0,2.11,37.9,6,58.62,0,0,0
1,59,123.8,136.6,89.4,2.12,38.3,6,59.43,0,0,0
1,60,125.5,135.3,90.9,2.13,38.6,6,60.23,0,0,0
1,61,127.2,134.0,92.3,2.15,38.9,6,61.00,0,0,0
1,62,129.0,132.8,93.8,2.16,39.2,6,61.75,0,0,0
1,63,130.8,131.5,95.2,2.17,39.5,6,62.48,0,0,0
1,64,132.6,130.3,96.7,2.18,39.8,6,63.19,0,0,0
1,65,134.4,129.2,98.1,2.19,40.1,6,63.88,0,0,0
1,66,136.3,128.1,99.6,2.20,40.4,6,64.55,0,0,0
1,67,138.2,127.0,101.0,2.20,40.6,6,65.19,0,0,0
1,68,140.2,125.9,102.4,2.21,40.9,6,-2258.45,0,1,1
2,1,88.0,205.4,0.0,0.07,0.0,6,50.62,0,0,0
2,2,88.0,205.3,0.0,0.14,0.0,6,1.33,0,0,0
2,3,88.0,205.1,0.0,0.20,0.0,6,2.02,0,0,0
2,4,88.0,204.8,0.0,0.27,0.0,6,2.70,0,0,0
2,5,88.0,204.5,0.0,0.33,0.0,6,3.36,0,0,0
2,6,88.0,204.1,0.0,0.39,0.0,6,4.01,0,0,0
2,7,88.0,203.7,0.0,0.45,0.0,6,4.65,0,0,0
2,8,88.0,203.1,0.0,0.51,0.0,6,5.27,0,0,0
2,9,88.0,202.6,2.4,0.57,2.4,6,5.88,0,0,0
2,10,88.0,201.9,4.7,0.63,4.5,6,6.47,0,0,0
2,11,88.0,201.3,7.0,0.68,6.3,6,7.03,0,0,0
2,12,88.0,200.5,9.3,0.74,8.0,6,7.58,0,0,0
2,13,88.1,199.7,11.5,0.79,9.5,6,8.41,0,0,0
2,14,88.1,198.9,13.6,0.84,10.9,6,9.00,0,0,0
2,15,88.2,198.0,15.7,0.89,12.2,6,9.59,0,0,0
2,16,88.2,197.1,17.8,0.94,13.4,6,10.16,0,0,0
2,17,88.3,196.1,19.9,0.99,14.5,6,10.73,0,0,0
2,18,88.4,195.0,21.9,1.04,15.6,6,12.15,0,0,0
2,19,88.6,194.0,23.9,1.08,16.6,6,12.83,0,0,0
2,20,88.7,192.9,25.8,1.13,17.5,6,13.51,0,0,0
2,21,88.9,191.7,27.7,1.17,18.4,6,14.19,0,0,0
2,22,89.1,190.5,29.6,1.21,19.3,6,14.86,0,0,0
2,23,89.4,189.3,31.5,1.25,20.1,6,15.53,0,0,0
2,24,89.7,188.0,33.4,1.29,20.9,6,17.99,0,0,0
2,25,90.0,186.7,35.2,1.33,21.7,6,18.83,0,0,0
2,26,90.3,185.4,37.0,1.37,22.5,6,19.67,0,0,0
2,27,90.7,184.0,38.8,1.40,23.2,6,20.50,0,0,0
2,28,91.1,182.7,40.5,1.44,23.9,6,21.34,0,0,0
2,29,91.6,181.3,42.3,1.47,24.5,6,22.17,0,0,0
2,30,92.0,179.8,44.0,1.51,25.2,6,25.90,0,0,0
2,31,92.6,178.4,45.7,1.54,25.8,6,26.91,0,0,0
2,32,93.1,176.9,47.4,1.57,26.4,6,27.93,0,0,0
2,33,93.7,175.4,49.1,1.60,27.0,6,28.94,0,0,0
2,34,94.4,173.9,50.8,1.63,27.6,6,29.94,0,0,0
2,35,95.1,172.4,52.5,1.66,28.2,6,30.94,0,0,0
2,36,95.8,170.9,54.1,1.69,28.7,6,36.03,0,0,0
2,37,96.5,169.4,55.7,1.71,29.2,6,37.21,0,0,0
2,38,97.4,167.8,57.4,1.74,29.7,6,38.38,0,0,0
2,39,98.2,166.3,59.0,1.76,30.3,6,39.55,0,0,0
2,40,99.1,164.7,60.6,1.79,30.7,6,40.70,0,0,0
2,41,100.0,163.2,62.2,1.81,31.2,6,41.84,0,0,0
2,42,101.0,161.6,63.7,1.83,31.7,6,42.96,0,0,0
2,43,102.0,160.1,65.3,1.86,32.1,6,44.07,0,0,0
2,44,103.1,158.5,66.9,1.88,32.6,6,45.17,0,0,0
2,45,104.2,157.0,68.4,1.90,33.0,6,46.25,0,0,0
2,46,105.3,155.4,70.0,1.92,33.5,6,47.31,0,0,0
2,47,106.5,153.9,71.5,1.94,33.9,6,48.36,0,0,0
2,48,107.7,152.4,73.0,1.96,34.3,6,49.39,0,0,0
2,49,109.0,150.8,74.5,1.97,34.7,6,50.40,0,0,0
2,50,110.3,149.3,76.1,1.99,35.1,6,51.39,0,0,0
2,51,111.6,147.8,77.6,2.01,35.5,6,52.36,0,0,0
2,52,113.0,146.4,79.1,2.02,35.8,6,53.32,0,0,0
2,53,114.4,144.9,80.6,2.04,36.2,6,54.25,0,0,0
2,54,115.9,143.5,82.0,2.05,36.6,6,55.17,0,0,0
2,55,117.4,142.1,83.5,2.07,36.9,6,56.06,0,0,0
2,56,119.0,140.7,85.0,2.08,37.3,6,56.93,0,0,0
2,57,120.5,139.3,86.5,2.10,37.6,6,57.79,0,0,0
2,58,122.2,137.9,88.0,2.11,37.9,6,58.62,0,0,0
2,59,123.8,136.6,89.4,2.12,38.3,6,59.43,0,0,0
2,60,125.5,135.3,90.9,2.13,38.6,6,60.23,0,0,0
2,61,127.2,134.0,92.3,2.15,38.9,6,61.00,0,0,0
2,62,129.0,132.8,93.8,2.16,39.2,6,61.75,0,0,0
2,63,130.8,131.5,95.2,2.17,39.5,6,62.48,0,0,0
2,64,132.6,130.3,96.7,2.18,39.8,6,63.19,0,0,0
2,65,134.4,129.2,98.1,2.19,40.1,6,63.88,0,0,0
2,66,136.3,128.1,99.6,2.20,40.4,6,64.55,0,0,0
2,67,138.2,127.0,101.0,2.20,40.6,6,65.19,0,0,0
2,68,140.2,125.9,102.4,2.21,40.9,6,-2258.45,0,1,1
