episode,step,x,y,angle,speed,drift_angle,action,reward,laps,done,offtrack_death
0,142,324.3,92.7,153.5,1.78,53.2,3,49.75,0,0,0
0,143,326.0,93.0,155.1,1.75,54.8,3,48.36,0,0,0
0,144,327.7,93.3,156.7,1.71,56.4,3,46.95,0,0,0
0,145,329.3,93.6,158.3,1.68,58.1,3,45.54,0,0,0
0,146,331.0,93.9,159.9,1.65,59.7,3,44.12,0,0,0
0,147,332.6,94.2,161.6,1.65,59.3,6,44.21,0,0,0
0,148,334.2,94.6,163.2,1.65,58.9,6,44.31,0,0,0
0,149,335.8,95.1,164.9,1.66,58.5,6,44.43,0,0,0
0,150,337.3,95.6,166.5,1.62,60.1,3,43.03,0,0,0
0,151,338.8,96.0,168.2,1.59,61.8,3,41.62,0,0,0
0,152,340.3,96.4,169.9,1.56,63.5,3,40.22,0,0,0
0,153,341.8,96.9,171.5,1.53,65.2,3,38.82,0,0,0
0,154,343.2,97.3,173.3,1.50,66.9,3,37.41,0,0,0
0,155,344.6,97.7,175.0,1.47,68.6,3,36.02,0,0,0
0,156,346.0,98.1,176.7,1.44,70.3,3,34.63,0,0,0
0,157,347.4,98.5,178.5,1.41,72.1,3,33.25,0,0,0
0,158,348.7,98.9,180.2,1.38,73.9,3,31.88,0,0,0
0,159,350.0,99.3,182.0,1.35,75.6,3,30.52,0,0,0
0,160,351.3,99.7,183.8,1.33,77.4,3,29.17,0,0,0
0,161,352.5,100.0,185.6,1.30,79.2,3,-4570.54,0,1,1
1,1,170.0,188.3,0.0,0.00,0.0,0,50.00,0,0,0
1,2,170.0,188.2,0.0,0.07,0.0,6,0.62,0,0,0
1,3,170.0,188.1,0.0,0.14,0.0,6,1.33,0,0,0
1,4,170.0,187.9,0.0,0.20,0.0,6,2.02,0,0,0
1,5,170.0,187.6,0.0,0.27,0.0,6,2.70,0,0,0
1,6,170.0,187.3,0.0,0.33,0.0,6,3.36,0,0,0
1,7,170.0,186.9,0.0,0.39,0.0,6,4.01,0,0,0
1,8,170.0,186.5,0.0,0.45,0.0,6,4.65,0,0,0
1,9,170.0,185.9,0.0,0.51,0.0,6,5.27,0,0,0
1,10,170.0,185.4,2.4,0.57,2.4,6,5.88,0,0,0
1,11,170.0,184.7,4.7,0.63,4.5,6,6.47,0,0,0
1,12,170.0,184.1,7.0,0.68,6.3,6,7.03,0,0,0
1,13,170.0,183.3,9.3,0.74,8.0,6,7.58,0,0,0
1,14,170.1,182.5,11.5,0.79,9.5,6,8.41,0,0,0
1,15,170.1,181.7,13.6,0.84,10.9,6,9.00,0,0,0
1,16,170.2,180.8,15.7,0.89,12.2,6,9.59,0,0,0
1,17,170.2,179.9,17.8,0.94,13.4,6,10.16,0,0,0
1,18,170.3,178.9,19.9,0.99,14.5,6,10.73,0,0,0
1,19,170.4,177.8,21.9,1.04,15.6,6,12.15,0,0,0
1,20,170.6,176.8,23.9,1.08,16.6,6,12.83,0,0,0
1,21,170.7,175.7,25.8,1.13,17.5,6,13.51,0,0,0
1,22,170.9,174.5,27.7,1.17,18.4,6,14.19,0,0,0
1,23,171.1,173.3,29.6,1.21,19.3,6,14.86,0,0,0
1,24,171.4,172.1,31.5,1.25,20.1,6,15.53,0,0,0
1,25,171.7,170.8,33.4,1.29,20.9,6,17.99,0,0,0
1,26,172.0,169.5,35.2,1.33,21.7,6,18.83,0,0,0
1,27,172.3,168.2,37.0,1.37,22.5,6,19.67,0,0,0
1,28,172.7,166.9,38.5,1.34,23.9,0,19.39,0,0,0
1,29,173.0,165.6,39.7,1.31,25.1,0,19.06,0,0,0
1,30,173.3,164.4,40.6,1.29,26.1,0,18.67,0,0,0
1,31,173.6,163.2,41.3,1.26,26.8,0,20.41,0,0,0
1,32,173.9,162.0,41.8,1.24,27.2,0,19.92,0,0,0
1,33,174.2,160.8,42.0,1.21,27.5,0,19.39,0,0,0
1,34,174.5,159.6,42.0,1.19,27.5,0,18.85,0,0,0
1,35,174.8,158.5,42.0,1.16,27.5,0,18.31,0,0,0
1,36,175.1,157.4,42.0,1.14,27.5,0,17.80,0,0,0
1,37,175.4,156.3,42.0,1.12,27.5,0,19.03,0,0,0
1,38,175.7,155.3,42.0,1.10,27.5,0,18.48,0,0,0
1,39,175.9,154.2,42.0,1.07,27.5,0,17.94,0,0,0
1,40,176.2,153.2,42.0,1.05,27.5,0,17.43,0,0,0
1,41,176.5,152.2,42.0,1.03,27.5,0,16.92,0,0,0
1,42,176.8,151.2,42.3,1.07,26.0,6,17.63,0,0,0
1,43,177.1,150.2,42.3,1.05,26.0,0,17.13,0,0,0
1,44,177.4,149.1,42.5,1.09,24.7,6,17.83,0,0,0
1,45,177.8,148.1,43.0,1.13,23.7,6,18.58,0,0,0
1,46,178.2,147.0,43.7,1.17,23.1,6,19.38,0,0,0
1,47,178.6,145.8,44.7,1.21,22.8,6,20.25,0,0,0
1,48,179.1,144.7,45.4,1.19,23.6,0,19.86,0,0,0
1,49,179.5,143.7,45.9,1.16,24.0,0,19.41,0,0,0
1,50,180.0,142.5,46.6,1.20,23.4,6,20.21,0,0,0
1,51,180.4,141.5,47.1,1.18,23.9,0,19.75,0,0,0
1,52,180.9,140.4,47.3,1.16,24.1,0,19.24,0,0,0
1,53,181.3,139.4,47.3,1.13,24.1,0,18.69,0,0,0
1,54,181.8,138.3,47.3,1.11,24.1,0,18.16,0,0,0
1,55,182.3,137.3,47.6,1.15,23.0,6,18.85,0,0,0
1,56,182.8,136.2,48.1,1.19,22.2,6,19.58,0,0,0
1,57,183.3,135.1,48.8,1.23,21.7,6,20.38,0,0,0
1,58,183.9,134.0,49.8,1.27,21.5,6,21.26,0,0,0
1,59,184.6,132.9,51.0,1.31,21.6,6,22.23,0,0,0
1,60,185.3,131.7,52.5,1.35,22.1,6,23.30,0,0,0
1,61,185.9,130.6,53.7,1.32,23.3,0,23.03,0,0,0
1,62,186.6,129.4,55.2,1.36,23.6,6,24.10,0,0,0
1,63,187.3,128.3,56.4,1.33,24.8,0,23.79,0,0,0
1,64,188.0,127.2,57.3,1.30,25.7,0,23.38,0,0,0
1,65,188.7,126.1,58.0,1.28,26.4,0,22.89,0,0,0
1,66,189.4,125.0,58.5,1.25,26.9,0,22.34,0,0,0
1,67,190.0,123.9,58.7,1.23,27.1,0,21.74,0,0,0
1,68,190.7,122.9,59.2,1.26,26.2,6,22.46,0,0,0
1,69,191.4,121.8,59.9,1.30,25.6,6,23.24,0,0,0
1,70,192.2,120.7,60.8,1.34,25.2,6,24.10,0,0,0
1,71,193.0,119.6,62.0,1.37,25.2,6,25.05,0,0,0
1,72,193.9,118.5,63.5,1.41,25.5,6,26.10,0,0,0
1,73,194.8,117.4,65.3,1.44,26.1,6,27.28,0,0,0
1,74,195.7,116.3,67.0,1.47,26.7,6,28.46,0,0,0
1,75,196.7,115.1,68.7,1.51,27.2,6,29.64,0,0,0
1,76,197.8,114.0,70.4,1.54,27.8,6,80.81,0,0,0
1,77,198.9,112.9,72.1,1.57,28.3,6,31.99,0,0,0
1,78,200.0,111.8,73.8,1.60,28.8,6,33.16,0,0,0
1,79,201.2,110.6,75.5,1.63,29.3,6,34.32,0,0,0
1,80,202.4,109.5,77.2,1.65,29.8,6,35.48,0,0,0
1,81,203.7,108.4,78.8,1.68,30.3,6,36.63,0,0,0
1,82,205.0,107.3,80.4,1.71,30.8,6,37.77,0,0,0
1,83,206.3,106.2,82.1,1.73,31.2,6,38.90,0,0,0
1,84,207.7,105.1,83.7,1.76,31.7,6,40.02,0,0,0
1,85,209.1,104.0,85.3,1.78,32.1,6,41.13,0,0,0
1,86,210.6,103.0,86.9,1.80,32.6,6,42.23,0,0,0
1,87,212.1,102.0,88.5,1.82,33.0,6,43.31,0,0,0
1,88,213.6,100.9,90.0,1.85,33.4,6,44.38,0,0,0
1,89,215.2,99.9,91.6,1.87,33.8,6,45.43,0,0,0
1,90,216.8,99.0,93.2,1.89,34.2,6,46.47,0,0,0
1,91,218.5,98.0,94.7,1.91,34.6,6,47.49,0,0,0
1,92,220.1,97.1,96.2,1.92,35.0,6,48.50,0,0,0
1,93,221.9,96.2,97.8,1.94,35.4,6,49.49,0,0,0
1,94,223.6,95.3,99.3,1.96,35.7,6,50.46,0,0,0
1,95,225.4,94.5,100.8,1.98,36.1,6,51.41,0,0,0
1,96,227.2,93.7,102.3,1.99,36.4,6,52.35,0,0,0
1,97,229.1,92.9,103.8,2.01,36.8,6,53.26,0,0,0
1,98,231.0,92.1,105.3,2.02,37.1,6,54.16,0,0,0
1,99,232.9,91.4,106.8,2.04,37.4,6,55.04,0,0,0
1,100,234.8,90.7,108.3,2.05,37.8,6,55.90,0,0,0
1,101,236.8,90.1,109.8,2.07,38.1,6,56.74,0,0,0
1,102,238.8,89.5,111.3,2.08,38.4,6,57.56,0,0,0
1,103,240.8,88.9,112.8,2.09,38.7,6,58.36,0,0,0
1,104,242.8,88.4,114.2,2.10,39.0,6,59.14,0,0,0
1,105,244.9,87.9,115.7,2.12,39.3,6,59.90,0,0,0
1,106,246.9,87.4,117.2,2.13,39.6,6,60.64,0,0,0
1,107,249.0,87.0,118.6,2.14,39.9,6,61.36,0,0,0
1,108,251.2,86.6,119.8,2.15,39.9,1,61.89,0,0,0
1,109,253.3,86.3,120.8,2.16,39.7,1,62.25,0,0,0
1,110,255.4,86.0,121.5,2.17,39.3,1,62.46,0,0,0
1,111,257.6,85.7,122.1,2.18,38.7,1,62.53,0,0,0
1,112,259.8,85.5,122.5,2.19,38.0,1,62.48,0,0,0
1,113,262.0,85.4,122.6,2.20,37.0,1,62.29,0,0,0
1,114,264.2,85.2,123.0,2.21,36.3,6,62.26,0,0,0
1,115,266.4,85.1,123.5,2.22,35.8,6,62.40,0,0,0
1,116,268.6,85.1,124.3,2.23,35.5,6,62.71,0,0,0
1,117,270.9,85.1,125.2,2.25,35.5,6,63.20,0,0,0
1,118,273.1,85.1,126.4,2.26,35.6,6,63.88,0,0,0
1,119,275.4,85.2,127.3,2.27,35.6,1,64.35,0,0,0
1,120,277.7,85.3,128.1,2.28,35.3,1,64.63,0,0,0
1,121,280.0,85.4,128.6,2.29,34.8,1,64.74,0,0,0
1,122,282.3,85.6,129.0,2.30,34.2,1,64.70,0,0,0
1,123,284.6,85.9,129.1,2.31,33.4,1,64.49,0,0,0
1,124,286.9,86.1,129.5,2.32,32.8,6,64.47,0,0,0
1,125,289.2,86.4,130.0,2.33,32.5,6,64.63,0,0,0
1,126,291.5,86.8,130.7,2.35,32.3,6,64.99,0,0,0
1,127,293.8,87.2,131.7,2.36,32.3,6,65.55,0,0,0
1,128,296.2,87.6,132.8,2.37,32.6,6,66.33,0,0,0
1,129,298.4,88.0,134.2,2.32,34.0,3,65.43,0,0,0
1,130,300.7,88.4,135.6,2.27,35.3,3,64.47,0,0,0
1,131,302.9,88.8,137.0,2.23,36.8,3,63.46,0,0,0
1,132,305.0,89.2,138.4,2.18,38.2,3,62.39,0,0,0
1,133,307.1,89.6,139.8,2.14,39.6,3,61.28,0,0,0
1,134,309.2,89.9,141.3,2.10,41.1,3,60.13,0,0,0
1,135,311.2,90.3,142.8,2.06,42.5,3,58.93,0,0,0
1,136,313.2,90.7,144.3,2.01,44.0,3,57.70,0,0,0
1,137,315.1,91.0,145.8,1.97,45.5,3,56.44,0,0,0
1,138,317.0,91.4,147.3,1.93,47.0,3,55.15,0,0,0
1,139,318.9,91.7,148.8,1.90,48.6,3,53.83,0,0,0
1,140,320.7,92.0,150.3,1.86,50.1,3,52.49,0,0,0
1,141,322.5,92.4,151.9,1.82,51.7,3,51.13,0,0,0
1,142,324.3,92.7,153.5,1.78,53.2,3,49.75,0,0,0
1,143,326.0,93.0,155.1,1.75,54.8,3,48.36,0,0,0
1,144,327.7,93.3,156.7,1.71,56.4,3,46.95,0,0,0
1,145,329.3,93.6,158.3,1.68,58.1,3,45.54,0,0,0
1,146,331.0,93.9,159.9,1.65,59.7,3,44.12,0,0,0
1,147,332.6,94.2,161.6,1.65,59.3,6,44.21,0,0,0
1,148,334.2,94.6,163.2,1.65,58.9,6,44.31,0,0,0
1,149,335.8,95.1,164.9,1.66,58.5,6,44.43,0,0,0
1,150,337.3,95.6,166.5,1.62,60.1,3,43.03,0,0,0
1,151,338.8,96.0,168.2,1.59,61.8,3,41.62,0,0,0
1,152,340.3,96.4,169.9,1.56,63.5,3,40.22,0,0,0
1,153,341.8,96.9,171.5,1.53,65.2,3,38.82,0,0,0
1,154,343.2,97.3,173.3,1.50,66.9,3,37.41,0,0,0
1,155,344.6,97.7,175.0,1.47,68.6,3,36.02,0,0,0
1,156,346.0,98.1,176.7,1.44,70.3,3,34.63,0,0,0
1,157,347.4,98.5,178.5,1.41,72.1,3,33.25,0,0,0
1,158,348.7,98.9,180.2,1.38,73.9,3,31.88,0,0,0
1,159,350.0,99.3,182.0,1.35,75.6,3,30.52,0,0,0
1,160,351.3,99.7,183.8,1.33,77.4,3,29.17,0,0,0
1,161,352.5,100.0,185.6,1.30,79.2,3,-4570.54,0,1,1
2,1,170.0,188.3,0.0,0.00,0.0,0,50.00,0,0,0
2,2,170.0,188.2,0.0,0.07,0.0,6,0.62,0,0,0
2,3,170.0,188.1,0.0,0.14,0.0,6,1.33,0,0,0
2,4,170.0,187.9,0.0,0.20,0.0,6,2.02,0,0,0
2,5,170.0,187.6,0.0,0.27,0.0,6,2.70,0,0,0
2,6,170.0,187.3,0.0,0.33,0.0,6,3.36,0,0,0
2,7,170.0,186.9,0.0,0.39,0.0,6,4.01,0,0,0
2,8,170.0,186.5,0.0,0.45,0.0,6,4.65,0,0,0
2,9,170.0,185.9,0.0,0.51,0.0,6,5.27,0,0,0
2,10,170.0,185.4,2.4,0.57,2.4,6,5.88,0,0,0
2,11,170.0,184.7,4.7,0.63,4.5,6,6.47,0,0,0
2,12,170.0,184.1,7.0,0.68,6.3,6,7.03,0,0,0
2,13,170.0,183.3,9.3,0.74,8.0,6,7.58,0,0,0
2,14,170.1,182.5,11.5,0.79,9.5,6,8.41,0,0,0
2,15,170.1,181.7,13.6,0.84,10.9,6,9.00,0,0,0
2,16,170.2,180.8,15.7,0.89,12.2,6,9.59,0,0,0
2,17,170.2,179.9,17.8,0.94,13.4,6,10.16,0,0,0
2,18,170.3,178.9,19.9,0.99,14.5,6,10.73,0,0,0
2,19,170.4,177.8,21.9,1.04,15.6,6,12.15,0,0,0
2,20,170.6,176.8,23.9,1.08,16.6,6,12.83,0,0,0
2,21,170.7,175.7,25.8,1.13,17.5,6,13.51,0,0,0
2,22,170.9,174.5,27.7,1.17,18.4,6,14.19,0,0,0
2,23,171.1,173.3,29.6,1.21,19.3,6,14.86,0,0,0
2,24,171.4,172.1,31.5,1.25,20.1,6,15.53,0,0,0
2,25,171.7,170.8,33.4,1.29,20.9,6,17.99,0,0,0
2,26,172.0,169.5,35.2,1.33,21.7,6,18.83,0,0,0
2,27,172.3,168.2,37.0,1.37,22.5,6,19.67,0,0,0
2,28,172.7,166.9,38.5,1.34,23.9,0,19.39,0,0,0
2,29,173.0,165.6,39.7,1.31,25.1,0,19.06,0,0,0
2,30,173.3,164.4,40.6,1.29,26.1,0,18.67,0,0,0
2,31,173.6,163.2,41.3,1.26,26.8,0,20.41,0,0,0
2,32,173.9,162.0,41.8,1.24,27.2,0,19.92,0,0,0
2,33,174.2,160.8,42.0,1.21,27.5,0,19.39,0,0,0
2,34,174.5,159.6,42.0,1.19,27.5,0,18.85,0,0,0
2,35,174.8,158.5,42.0,1.16,27.5,0,18.31,0,0,0
2,36,175.1,157.4,42.0,1.14,27.5,0,17.80,0,0,0
2,37,175.4,156.3,42.0,1.12,27.5,0,19.03,0,0,0
2,38,175.7,155.3,42.0,1.10,27.5,0,18.48,0,0,0
2,39,175.9,154.2,42.0,1.07,27.5,0,17.94,0,0,0
2,40,176.2,153.2,42.0,1.05,27.5,0,17.43,0,0,0
2,41,176.5,152.2,42.0,1.03,27.5,0,16.92,0,0,0
2,42,176.8,151.2,42.3,1.07,26.0,6,17.63,0,0,0
2,43,177.1,150.2,42.3,1.05,26.0,0,17.13,0,0,0
2,44,177.4,149.1,42.5,1.09,24.7,6,17.83,0,0,0
2,45,177.8,148.1,43.0,1.13,23.7,6,18.58,0,0,0
2,46,178.2,147.0,43.7,1.17,23.1,6,19.38,0,0,0
2,47,178.6,145.8,44.7,1.21,22.8,6,20.25,0,0,0
2,48,179.1,144.7,45.4,1.19,23.6,0,19.86,0,0,0
2,49,179.5,143.7,45.9,1.16,24.0,0,19.41,0,0,0
2,50,180.0,142.5,46.6,1.20,23.4,6,20.21,0,0,0
2,51,180.4,141.5,47.1,1.18,23.9,0,19.75,0,0,0
2,52,180.9,140.4,47.3,1.16,24.1,0,19.24,0,0,0
2,53,181.3,139.4,47.3,1.13,24.1,0,18.69,0,0,0
2,54,181.8,138.3,47.3,1.11,24.1,0,18.16,0,0,0
2,55,182.3,137.3,47.6,1.15,23.0,6,18.85,0,0,0
2,56,182.8,136.2,48.1,1.19,22.2,6,19.58,0,0,0
2,57,183.3,135.1,48.8,1.23,21.7,6,20.38,0,0,0
2,58,183.9,134.0,49.8,1.27,21.5,6,21.26,0,0,0
2,59,184.6,132.9,51.0,1.31,21.6,6,22.23,0,0,0
2,60,185.3,131.7,52.5,1.35,22.1,6,23.30,0,0,0
2,61,185.9,130.6,53.7,1.32,23.3,0,23.03,0,0,0
2,62,186.6,129.4,55.2,1.36,23.6,6,24.10,0,0,0
2,63,187.3,128.3,56.4,1.33,24.8,0,23.79,0,0,0
2,64,188.0,127.2,57.3,1.30,25.7,0,23.38,0,0,0
